
---------------------------------------------------------------------------------------
Spectrum  |           Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
As II     |           510.558   |   340 |           |      |                     |    |
As II     |           510.755   |   500 |           |      |                     |    |
          |                     |       |           |      |                     |    |
As I      |           512.134   |   100 |           |      |                     |    |
As I      |           514.163   |   100 |           |      |                     |    |
As II     |           523.138   |   425 |           |      |                     |    |
As II     |           533.123   |   500 |           |      |                     |    |
As I      |           540.813   |   100 |           |      |                     |    |
          |                     |       |           |      |                     |    |
As I      |           545.132   |   135 |           |      |                     |    |
As II     |           549.7727  |   340 |           |      |                     |    |
As II     |           555.809   |   425 |           |      |                     |    |
As II     |           565.132   |   425 |           |      |                     |    |
As II     |           611.007   |   425 |           |      |                     |    |
          |                     |       |           |      |                     |    |
As II     |           617.027   |   500 |           |      |                     |    |
As II     |           651.174   |   300 |           |      |                     |    |
As II     |           709.227   |   300 |           |      |                     |    |
As II     |           710.272   |   300 |           |      |                     |    |
As II     |           799.053   |   340 |           |      |                     |    |
          |                     |       |           |      |                     |    |
As II     |           817.451   |   300 |           |      |                     |    |
As I      |           842.891   |   100 |           |      |                     |    |
As I      |           856.471   |   100 |           |      |                     |    |
As I      |           865.414   |   100 |           |      |                     |    |
As I      |           882.173   |   135 |           |      |                     |    |
          |                     |       |           |      |                     |    |
As I      |           886.966   |   100 |           |      |                     |    |
As I      |           926.728   |   135 |           |      |                     |    |
As I      |           930.061   |   200 |           |      |                     |    |
As I      |           959.795   |   230 |           |      |                     |    |
As I      |           962.670   |   290 |           |      |                     |    |
          |                     |       |           |      |                     |    |
As I      |           983.376   |   230 |           |      |                     |    |
As I      |           988.605   |   100 |           |      |                     |    |
As I      |           990.055   |   140 |           |      |                     |    |
As I      |           991.571   |   170 |           |      |                     |    |
As I      |           992.305   |   290 |           |      |                     |    |
          |                     |       |           |      |                     |    |
As I      |          1001.063   |   100 |           |      |                     |    |
As I      |          1002.404   |   290 |           |      |                     |    |
As I      |          1045.309   |   100 |           |      |                     |    |
As I      |          1057.502   |   100 |           |      |                     |    |
As I      |          1061.407   |   170 |           |      |                     |    |
